6388	232
9377	1139
18017	1451
14173	867
524	848
6567	823
1318	1451
3272	1209
1679	1480
9880	1384
17574	1402
128	823
3988	776
9274	1007
4999	1119
3177	641
9132	1309
3033	425
2090	28
8905	1150
2260	318
10803	221
4475	1322
20867	1194
5754	1257
10703	991
17541	1285
2664	795
12459	1451
772	641
5602	1121
8411	1251
3339	641
6007	1257
874	1194
4848	540
10006	1098
10710	641
2512	396
402	218
11865	1471
7363	979
4026	1553
7542	950
2214	394
7333	1480
2622	699
8980	654
1848	1522
3862	1442
7918	1003
2582	309
9096	475
5578	1252
13962	1336
17773	1511
3624	724
2476	1171
1216	1427
456	823
7143	868
8401	1243
4917	1316
3685	1151
10475	1512
4414	1424
7829	823
9742	641
10753	658
12405	1171
3720	366
9143	1531
9909	1504
7249	1171
14200	823
2431	1393
12583	1089
7783	867
7588	679
17243	678
9682	1379
322	1459
6269	162
9716	823
6775	218
17769	1263
11193	1229
471	211
3064	1214
2990	1399
12401	1480
3625	1480
10763	987
749	1429
2534	1498
157	515
18944	1152
10700	651
10760	650
1150	677
14124	1066
10420	833
7225	1433
7340	1451
2241	180
11859	824
8248	1451
1105	1480
5546	243
9142	78
2421	628
9044	970
7572	779
9561	1393
4127	454
3972	1532
8131	1434
2331	1490
6071	1480
9516	1483
4507	1190
7980	1451
9536	1438
2685	1445
9998	357
6051	505
3654	1451
11652	1426
7837	823
3537	527
7964	1453
4913	1470
2970	1382
1244	1393
9902	823
5842	1171
19167	188
1508	678
501	1244
17805	1171
7303	1214
9563	684
9761	382
7859	1340
3979	1475
8650	650
8203	1384
12525	311
3843	1251
2067	1428
2321	641
2354	626
14393	218
18098	1451
7598	367
5757	1451
25	685
7652	1099
10389	1481
4886	1480
9063	1490
10248	823
2940	40
1849	641
9492	527
10433	833
6317	823
2452	1351
14150	527
5243	527
9133	1309
9056	360
8571	971
1670	1171
511	1451
5828	249
14180	669
954	783
17698	153
10669	113
2811	939
4894	1273
426	40
12580	394
8964	641
7932	383
9611	1251
1897	1412
5599	1480
1653	211
10391	1481
3858	882
9158	1451
12768	1459
9841	434
8177	556
4709	388
11722	641
9054	1150
3672	1008
11894	1159
5000	1119
8849	1194
4150	1171
3038	554
6011	1336
644	1214
10302	1150
3106	1384
8228	1171
17703	833
1009	211
2562	1066
18968	702
9619	301
6773	610
1005	1206
10423	833
14497	505
8102	1171
929	1451
17355	823
19388	1480
17761	1309
12866	899
10049	104
6248	992
17496	1428
6804	1441
8231	49
6558	1480
17728	1041
10007	309
1156	747
9452	1177
8146	1121
11713	1274
14347	249
9933	366
6342	1171
8756	309
8286	1246
827	226
11244	1384
18722	1490
18051	229
7676	868
3850	1003
3813	311
19094	675
8342	650
6922	1480
10529	1532
14266	209
8937	366
684	755
6611	1532
1240	1025
5573	305
18083	264
3846	1504
1459	1451
3497	1054
9182	1171
10230	211
10531	1459
10106	211
1871	1490
6986	730
5631	1171
10652	1171
7163	1415
978	1553
2494	1442
2570	1337
7689	1171
9300	1378
3446	1393
8843	229
14404	1510
9303	628
1833	597
7986	1459
4256	548
5811	475
8935	823
2194	641
8496	932
680	168
10422	833
37	1480
9482	1171
692	654
6208	1532
3216	1121
10217	678
7661	1393
10584	349
17274	194
1513	1420
6973	212
2061	357
175	1451
8434	675
7374	1393
7294	1168
3872	327
3209	608
10436	1451
5147	590
611	1252
4201	279
10616	1162
19290	1451
6266	1328
7375	641
3852	1480
3410	805
964	1532
6067	1488
5973	599
619	1480
289	1419
5200	527
3845	1451
7524	1532
4400	1451
4910	1484
7654	916
17491	750
14002	168
8538	641
8260	105
10275	1532
8330	47
7948	1363
5055	251
7977	1387
7032	641
364	1534
4310	1451
7145	868
2057	641
6482	1384
337	1545
5796	1171
3441	302
9092	699
18969	1451
8379	211
17894	848
6426	1261
6031	823
9049	1482
10435	1451
9746	1028
4520	1190
8183	1307
1949	1480
47	1525
8680	309
8621	48
9708	823
1210	736
10287	1214
3095	1468
6876	610
4486	203
3399	221
9460	1171
2907	926
8462	143
8789	115
10494	804
377	1451
12962	650
8378	641
4671	949
18067	1451
6310	1040
6769	1525
6637	1480
4384	1171
1060	19
