geneBioID	ProteinBioCynId
FBGN0030843	FBGN0030843-MONOMER
FBGN0053911	FBGN0053911-MONOMER
FBGN0086691	FBGN0086691-MONOMER
FBGN0033275	FBGN0033275-MONOMER
FBGN0023526	FBGN0023526-MONOMER
FBGN0032200	FBGN0032200-MONOMER
FBGN0014127	FBGN0014127-MONOMER
FBGN0050008	FBGN0050008-MONOMER
FBGN0036667	FBGN0036667-MONOMER
FBGN0050393	FBGN0050393-MONOMER
FBGN0032010	FBGN0032010-MONOMER
FBGN0052564	FBGN0052564-MONOMER
FBGN0040817	FBGN0040817-MONOMER
FBGN0037694	FBGN0037694-MONOMER
FBGN0039017	FBGN0039017-MONOMER
FBGN0030936	FBGN0030936-MONOMER
FBGN0052638	FBGN0052638-MONOMER
FBGN0083167	FBGN0083167-MONOMER
FBGN0033316	FBGN0033316-MONOMER
FBGN0085725	FBGN0085725-MONOMER
FBGN0259744	FBGN0259744-MONOMER
FBGN0050161	FBGN0050161-MONOMER
FBGN0030092	FBGN0030092-MONOMER
FBGN0052590	FBGN0052590-MONOMER
FBGN0032214	FBGN0032214-MONOMER
FBGN0039733	FBGN0039733-MONOMER
FBGN0036655	FBGN0036655-MONOMER
FBGN0050460	FBGN0050460-MONOMER
FBGN0085706	FBGN0085706-MONOMER
FBGN0036818	FBGN0036818-MONOMER
FBGN0031139	FBGN0031139-MONOMER
FBGN0001967	FBGN0001967-MONOMER
FBGN0028938	FBGN0028938-MONOMER
FBGN0052016	FBGN0052016-MONOMER
FBGN0037503	FBGN0037503-MONOMER
FBGN0035829	FBGN0035829-MONOMER
FBGN0037467	FBGN0037467-MONOMER
FBGN0034721	FBGN0034721-MONOMER
FBGN0039851	FBGN0039851-MONOMER
FBGN0029931	FBGN0029931-MONOMER
FBGN0036003	FBGN0036003-MONOMER
FBGN0028494	FBGN0028494-MONOMER
FBGN0015838	FBGN0015838-MONOMER
FBGN0062517	FBGN0062517-MONOMER
FBGN0038756	FBGN0038756-MONOMER
FBGN0034426	FBGN0034426-MONOMER
FBGN0030462	FBGN0030462-MONOMER
FBGN0050069	FBGN0050069-MONOMER
FBGN0037441	FBGN0037441-MONOMER
FBGN0038943	FBGN0038943-MONOMER
FBGN0036488	FBGN0036488-MONOMER
FBGN0029701	FBGN0029701-MONOMER
FBGN0036495	FBGN0036495-MONOMER
FBGN0051122	FBGN0051122-MONOMER
FBGN0035440	FBGN0035440-MONOMER
FBGN0034595	FBGN0034595-MONOMER
FBGN0030834	FBGN0030834-MONOMER
FBGN0042105	FBGN0042105-MONOMER
FBGN0052642	FBGN0052642-MONOMER
FBGN0030161	FBGN0030161-MONOMER
FBGN0036390	FBGN0036390-MONOMER
FBGN0031837	FBGN0031837-MONOMER
FBGN0030360	FBGN0030360-MONOMER
FBGN0053769	FBGN0053769-MONOMER
FBGN0035318	FBGN0035318-MONOMER
FBGN0052187	FBGN0052187-MONOMER
FBGN0040685	FBGN0040685-MONOMER
FBGN0037406	FBGN0037406-MONOMER
FBGN0035259	FBGN0035259-MONOMER
FBGN0051157	FBGN0051157-MONOMER
FBGN0035260	FBGN0035260-MONOMER
FBGN0037292	FBGN0037292-MONOMER
FBGN0086677	FBGN0086677-MONOMER
FBGN0051315	FBGN0051315-MONOMER
FBGN0085354	FBGN0085354-MONOMER
FBGN0051493	FBGN0051493-MONOMER
FBGN0036502	FBGN0036502-MONOMER
FBGN0029642	FBGN0029642-MONOMER
FBGN0037556	FBGN0037556-MONOMER
FBGN0036510	FBGN0036510-MONOMER
FBGN0040747	FBGN0040747-MONOMER
FBGN0040348	FBGN0040348-MONOMER
FBGN0053017	FBGN0053017-MONOMER
FBGN0002643	FBGN0002643-MONOMER
FBGN0040786	FBGN0040786-MONOMER
FBGN0034279	FBGN0034279-MONOMER
FBGN0085691	FBGN0085691-MONOMER
FBGN0038142	FBGN0038142-MONOMER
FBGN0028899	FBGN0028899-MONOMER
FBGN0030868	FBGN0030868-MONOMER
FBGN0036292	FBGN0036292-MONOMER
FBGN0032698	FBGN0032698-MONOMER
FBGN0035941	FBGN0035941-MONOMER
FBGN0259720	FBGN0259720-MONOMER
FBGN0051560	FBGN0051560-MONOMER
FBGN0038438	FBGN0038438-MONOMER
FBGN0034288	FBGN0034288-MONOMER
FBGN0030538	FBGN0030538-MONOMER
FBGN0040390	FBGN0040390-MONOMER
FBGN0036677	FBGN0036677-MONOMER
FBGN0034958	FBGN0034958-MONOMER
FBGN0029717	FBGN0029717-MONOMER
FBGN0052720	FBGN0052720-MONOMER
FBGN0050271	FBGN0050271-MONOMER
FBGN0051068	FBGN0051068-MONOMER
FBGN0086656	FBGN0086656-MONOMER
FBGN0033802	FBGN0033802-MONOMER
FBGN0040108	FBGN0040108-MONOMER
FBGN0032184	FBGN0032184-MONOMER
FBGN0035730	FBGN0035730-MONOMER
FBGN0054031	FBGN0054031-MONOMER
FBGN0032188	FBGN0032188-MONOMER
FBGN0051327	FBGN0051327-MONOMER
FBGN0025820	FBGN0025820-MONOMER
FBGN0035998	FBGN0035998-MONOMER
FBGN0047351	FBGN0047351-MONOMER
FBGN0053468	FBGN0053468-MONOMER
FBGN0038721	FBGN0038721-MONOMER
FBGN0085331	FBGN0085331-MONOMER
FBGN0030704	FBGN0030704-MONOMER
FBGN0033209	FBGN0033209-MONOMER
FBGN0038590	FBGN0038590-MONOMER
FBGN0035755	FBGN0035755-MONOMER
FBGN0028411	FBGN0028411-MONOMER
FBGN0034430	FBGN0034430-MONOMER
FBGN0030183	FBGN0030183-MONOMER
FBGN0051856	FBGN0051856-MONOMER
FBGN0058204	FBGN0058204-MONOMER
FBGN0050127	FBGN0050127-MONOMER
FBGN0037603	FBGN0037603-MONOMER
FBGN0086898	FBGN0086898-MONOMER
FBGN0037139	FBGN0037139-MONOMER
FBGN0035896	FBGN0035896-MONOMER
FBGN0036711	FBGN0036711-MONOMER
FBGN0033851	FBGN0033851-MONOMER
FBGN0050120	FBGN0050120-MONOMER
FBGN0029657	FBGN0029657-MONOMER
FBGN0038692	FBGN0038692-MONOMER
FBGN0031664	FBGN0031664-MONOMER
FBGN0032292	FBGN0032292-MONOMER
FBGN0069242	FBGN0069242-MONOMER
FBGN0030952	FBGN0030952-MONOMER
FBGN0021856	FBGN0021856-MONOMER
FBGN0029935	FBGN0029935-MONOMER
FBGN0031085	FBGN0031085-MONOMER
FBGN0035541	FBGN0035541-MONOMER
FBGN0040071	FBGN0040071-MONOMER
FBGN0030296	FBGN0030296-MONOMER
FBGN0039284	FBGN0039284-MONOMER
FBGN0035267	FBGN0035267-MONOMER
FBGN0039070	FBGN0039070-MONOMER
FBGN0001084	FBGN0001084-MONOMER
FBGN0039161	FBGN0039161-MONOMER
FBGN0033640	FBGN0033640-MONOMER
FBGN0030752	FBGN0030752-MONOMER
FBGN0051639	FBGN0051639-MONOMER
FBGN0050387	FBGN0050387-MONOMER
FBGN0033280	FBGN0033280-MONOMER
FBGN0085696	FBGN0085696-MONOMER
FBGN0037127	FBGN0037127-MONOMER
FBGN0250845	FBGN0250845-MONOMER
FBGN0031276	FBGN0031276-MONOMER
FBGN0035960	FBGN0035960-MONOMER
FBGN0085492	FBGN0085492-MONOMER
FBGN0035313	FBGN0035313-MONOMER
FBGN0052137	FBGN0052137-MONOMER
FBGN0052204	FBGN0052204-MONOMER
FBGN0029594	FBGN0029594-MONOMER
FBGN0053465	FBGN0053465-MONOMER
FBGN0036062	FBGN0036062-MONOMER
FBGN0032916	FBGN0032916-MONOMER
FBGN0031526	FBGN0031526-MONOMER
FBGN0034920	FBGN0034920-MONOMER
FBGN0032834	FBGN0032834-MONOMER
FBGN0029659	FBGN0029659-MONOMER
FBGN0023521	FBGN0023521-MONOMER
FBGN0034156	FBGN0034156-MONOMER
FBGN0035980	FBGN0035980-MONOMER
FBGN0038584	FBGN0038584-MONOMER
FBGN0085676	FBGN0085676-MONOMER
FBGN0023540	FBGN0023540-MONOMER
FBGN0030979	FBGN0030979-MONOMER
FBGN0036577	FBGN0036577-MONOMER
FBGN0039208	FBGN0039208-MONOMER
FBGN0029703	FBGN0029703-MONOMER
FBGN0035891	FBGN0035891-MONOMER
FBGN0029795	FBGN0029795-MONOMER
FBGN0051093	FBGN0051093-MONOMER
FBGN0034573	FBGN0034573-MONOMER
FBGN0052613	FBGN0052613-MONOMER
FBGN0036671	FBGN0036671-MONOMER
FBGN0038842	FBGN0038842-MONOMER
FBGN0036500	FBGN0036500-MONOMER
FBGN0031308	FBGN0031308-MONOMER
FBGN0051036	FBGN0051036-MONOMER
FBGN0034963	FBGN0034963-MONOMER
FBGN0031191	FBGN0031191-MONOMER
FBGN0037463	FBGN0037463-MONOMER
FBGN0037104	FBGN0037104-MONOMER
FBGN0052409	FBGN0052409-MONOMER
FBGN0031094	FBGN0031094-MONOMER
FBGN0030030	FBGN0030030-MONOMER
FBGN0038488	FBGN0038488-MONOMER
FBGN0040679	FBGN0040679-MONOMER
FBGN0051086	FBGN0051086-MONOMER
FBGN0030272	FBGN0030272-MONOMER
FBGN0085286	FBGN0085286-MONOMER
FBGN0083967	FBGN0083967-MONOMER
FBGN0029708	FBGN0029708-MONOMER
FBGN0033835	FBGN0033835-MONOMER
FBGN0085318	FBGN0085318-MONOMER
FBGN0034578	FBGN0034578-MONOMER
FBGN0052060	FBGN0052060-MONOMER
FBGN0051352	FBGN0051352-MONOMER
FBGN0032052	FBGN0032052-MONOMER
FBGN0051531	FBGN0051531-MONOMER
FBGN0030224	FBGN0030224-MONOMER
FBGN0028870	FBGN0028870-MONOMER
FBGN0034523	FBGN0034523-MONOMER
FBGN0037107	FBGN0037107-MONOMER
FBGN0031197	FBGN0031197-MONOMER
FBGN0032105	FBGN0032105-MONOMER
FBGN0031320	FBGN0031320-MONOMER
FBGN0053702	FBGN0053702-MONOMER
FBGN0053777	FBGN0053777-MONOMER
FBGN0037806	FBGN0037806-MONOMER
FBGN0085482	FBGN0085482-MONOMER
FBGN0039725	FBGN0039725-MONOMER
FBGN0037985	FBGN0037985-MONOMER
FBGN0034788	FBGN0034788-MONOMER
FBGN0043010	FBGN0043010-MONOMER
FBGN0250904	FBGN0250904-MONOMER
FBGN0039000	FBGN0039000-MONOMER
FBGN0039970	FBGN0039970-MONOMER
FBGN0052107	FBGN0052107-MONOMER
FBGN0024555	FBGN0024555-MONOMER
FBGN0030275	FBGN0030275-MONOMER
FBGN0035703	FBGN0035703-MONOMER
FBGN0036301	FBGN0036301-MONOMER
FBGN0036315	FBGN0036315-MONOMER
FBGN0038929	FBGN0038929-MONOMER
FBGN0083974	FBGN0083974-MONOMER
FBGN0000644	FBGN0000644-MONOMER
FBGN0031374	FBGN0031374-MONOMER
FBGN0039761	FBGN0039761-MONOMER
FBGN0034933	FBGN0034933-MONOMER
FBGN0029508	FBGN0029508-MONOMER
FBGN0039154	FBGN0039154-MONOMER
FBGN0037026	FBGN0037026-MONOMER
FBGN0038084	FBGN0038084-MONOMER
FBGN0034910	FBGN0034910-MONOMER
FBGN0085355	FBGN0085355-MONOMER
FBGN0038223	FBGN0038223-MONOMER
FBGN0051551	FBGN0051551-MONOMER
FBGN0004646	FBGN0004646-MONOMER
FBGN0039654	FBGN0039654-MONOMER
FBGN0085596	FBGN0085596-MONOMER
FBGN0085552	FBGN0085552-MONOMER
FBGN0038941	FBGN0038941-MONOMER
FBGN0047338	FBGN0047338-MONOMER
FBGN0032360	FBGN0032360-MONOMER
FBGN0032827	FBGN0032827-MONOMER
FBGN0032452	FBGN0032452-MONOMER
FBGN0036017	FBGN0036017-MONOMER
FBGN0031671	FBGN0031671-MONOMER
FBGN0085257	FBGN0085257-MONOMER
FBGN0051462	FBGN0051462-MONOMER
FBGN0030156	FBGN0030156-MONOMER
FBGN0035196	FBGN0035196-MONOMER
FBGN0030290	FBGN0030290-MONOMER
FBGN0243513	FBGN0243513-MONOMER
FBGN0052185	FBGN0052185-MONOMER
FBGN0037667	FBGN0037667-MONOMER
FBGN0029965	FBGN0029965-MONOMER
FBGN0037223	FBGN0037223-MONOMER
FBGN0031768	FBGN0031768-MONOMER
FBGN0052599	FBGN0052599-MONOMER
FBGN0259735	FBGN0259735-MONOMER
FBGN0037934	FBGN0037934-MONOMER
FBGN0030283	FBGN0030283-MONOMER
FBGN0030671	FBGN0030671-MONOMER
FBGN0085586	FBGN0085586-MONOMER
FBGN0259189	FBGN0259189-MONOMER
FBGN0050479	FBGN0050479-MONOMER
FBGN0038286	FBGN0038286-MONOMER
FBGN0085320	FBGN0085320-MONOMER
FBGN0069965	FBGN0069965-MONOMER
FBGN0001255	FBGN0001255-MONOMER
FBGN0051386	FBGN0051386-MONOMER
FBGN0020280	FBGN0020280-MONOMER
FBGN0085512	FBGN0085512-MONOMER
FBGN0032773	FBGN0032773-MONOMER
FBGN0052461	FBGN0052461-MONOMER
FBGN0250851	FBGN0250851-MONOMER
FBGN0052299	FBGN0052299-MONOMER
FBGN0037736	FBGN0037736-MONOMER
FBGN0040898	FBGN0040898-MONOMER
FBGN0037811	FBGN0037811-MONOMER
FBGN0036799	FBGN0036799-MONOMER
FBGN0038596	FBGN0038596-MONOMER
FBGN0031345	FBGN0031345-MONOMER
FBGN0030418	FBGN0030418-MONOMER
FBGN0087039	FBGN0087039-MONOMER
FBGN0040931	FBGN0040931-MONOMER
FBGN0025624	FBGN0025624-MONOMER
FBGN0001226	FBGN0001226-MONOMER
FBGN0051131	FBGN0051131-MONOMER
FBGN0033273	FBGN0033273-MONOMER
FBGN0040965	FBGN0040965-MONOMER
FBGN0037883	FBGN0037883-MONOMER
FBGN0046214	FBGN0046214-MONOMER
FBGN0033548	FBGN0033548-MONOMER
FBGN0051676	FBGN0051676-MONOMER
FBGN0034463	FBGN0034463-MONOMER
FBGN0085265	FBGN0085265-MONOMER
FBGN0029539	FBGN0029539-MONOMER
FBGN0036115	FBGN0036115-MONOMER
FBGN0053929	FBGN0053929-MONOMER
FBGN0035542	FBGN0035542-MONOMER
FBGN0085626	FBGN0085626-MONOMER
FBGN0038214	FBGN0038214-MONOMER
FBGN0034010	FBGN0034010-MONOMER
FBGN0035227	FBGN0035227-MONOMER
FBGN0010238	FBGN0010238-MONOMER
FBGN0039994	FBGN0039994-MONOMER
FBGN0052355	FBGN0052355-MONOMER
FBGN0033680	FBGN0033680-MONOMER
FBGN0039589	FBGN0039589-MONOMER
FBGN0028873	FBGN0028873-MONOMER
FBGN0028645	FBGN0028645-MONOMER
FBGN0259195	FBGN0259195-MONOMER
FBGN0038251	FBGN0038251-MONOMER
FBGN0067312	FBGN0067312-MONOMER
FBGN0052541	FBGN0052541-MONOMER
FBGN0034761	FBGN0034761-MONOMER
FBGN0052448	FBGN0052448-MONOMER
FBGN0034110	FBGN0034110-MONOMER
FBGN0033935	FBGN0033935-MONOMER
FBGN0028430	FBGN0028430-MONOMER
FBGN0085694	FBGN0085694-MONOMER
FBGN0085460	FBGN0085460-MONOMER
FBGN0038523	FBGN0038523-MONOMER
FBGN0085551	FBGN0085551-MONOMER
FBGN0054035	FBGN0054035-MONOMER
FBGN0046820	FBGN0046820-MONOMER
FBGN0250834	FBGN0250834-MONOMER
FBGN0034786	FBGN0034786-MONOMER
FBGN0034422	FBGN0034422-MONOMER
FBGN0030048	FBGN0030048-MONOMER
FBGN0033413	FBGN0033413-MONOMER
FBGN0032478	FBGN0032478-MONOMER
FBGN0033651	FBGN0033651-MONOMER
FBGN0034204	FBGN0034204-MONOMER
FBGN0259182	FBGN0259182-MONOMER
FBGN0052694	FBGN0052694-MONOMER
FBGN0032311	FBGN0032311-MONOMER
FBGN0051900	FBGN0051900-MONOMER
FBGN0052048	FBGN0052048-MONOMER
FBGN0028952	FBGN0028952-MONOMER
FBGN0038706	FBGN0038706-MONOMER
FBGN0031143	FBGN0031143-MONOMER
FBGN0085650	FBGN0085650-MONOMER
FBGN0032385	FBGN0032385-MONOMER
FBGN0040796	FBGN0040796-MONOMER
FBGN0052192	FBGN0052192-MONOMER
FBGN0036454	FBGN0036454-MONOMER
FBGN0024998	FBGN0024998-MONOMER
FBGN0051407	FBGN0051407-MONOMER
FBGN0039881	FBGN0039881-MONOMER
FBGN0051813	FBGN0051813-MONOMER
FBGN0001227	FBGN0001227-MONOMER
FBGN0029501	FBGN0029501-MONOMER
FBGN0031483	FBGN0031483-MONOMER
FBGN0037648	FBGN0037648-MONOMER
FBGN0053647	FBGN0053647-MONOMER
FBGN0030694	FBGN0030694-MONOMER
FBGN0036576	FBGN0036576-MONOMER
FBGN0037827	FBGN0037827-MONOMER
FBGN0033199	FBGN0033199-MONOMER
FBGN0051562	FBGN0051562-MONOMER
FBGN0033497	FBGN0033497-MONOMER
FBGN0050056	FBGN0050056-MONOMER
FBGN0050081	FBGN0050081-MONOMER
FBGN0028507	FBGN0028507-MONOMER
FBGN0259729	FBGN0259729-MONOMER
FBGN0085588	FBGN0085588-MONOMER
FBGN0032359	FBGN0032359-MONOMER
FBGN0038400	FBGN0038400-MONOMER
FBGN0085479	FBGN0085479-MONOMER
FBGN0037280	FBGN0037280-MONOMER
FBGN0019925	FBGN0019925-MONOMER
FBGN0031856	FBGN0031856-MONOMER
FBGN0032025	FBGN0032025-MONOMER
FBGN0003159	FBGN0003159-MONOMER
FBGN0030215	FBGN0030215-MONOMER
FBGN0036484	FBGN0036484-MONOMER
FBGN0085574	FBGN0085574-MONOMER
FBGN0029748	FBGN0029748-MONOMER
FBGN0035218	FBGN0035218-MONOMER
FBGN0030738	FBGN0030738-MONOMER
FBGN0034841	FBGN0034841-MONOMER
FBGN0031968	FBGN0031968-MONOMER
FBGN0040636	FBGN0040636-MONOMER
FBGN0035166	FBGN0035166-MONOMER
FBGN0038500	FBGN0038500-MONOMER
FBGN0013433	FBGN0013433-MONOMER
FBGN0035624	FBGN0035624-MONOMER
FBGN0083972	FBGN0083972-MONOMER
FBGN0033221	FBGN0033221-MONOMER
FBGN0053666	FBGN0053666-MONOMER
FBGN0039852	FBGN0039852-MONOMER
FBGN0036519	FBGN0036519-MONOMER
FBGN0032149	FBGN0032149-MONOMER
FBGN0085254	FBGN0085254-MONOMER
FBGN0031942	FBGN0031942-MONOMER
FBGN0031134	FBGN0031134-MONOMER
FBGN0034367	FBGN0034367-MONOMER
FBGN0086608	FBGN0086608-MONOMER
FBGN0039376	FBGN0039376-MONOMER
FBGN0028544	FBGN0028544-MONOMER
FBGN0036638	FBGN0036638-MONOMER
FBGN0028835	FBGN0028835-MONOMER
FBGN0038168	FBGN0038168-MONOMER
FBGN0053202	FBGN0053202-MONOMER
FBGN0033966	FBGN0033966-MONOMER
FBGN0051324	FBGN0051324-MONOMER
FBGN0067341	FBGN0067341-MONOMER
FBGN0038051	FBGN0038051-MONOMER
FBGN0259098	FBGN0259098-MONOMER
FBGN0038170	FBGN0038170-MONOMER
FBGN0085623	FBGN0085623-MONOMER
FBGN0034380	FBGN0034380-MONOMER
FBGN0085287	FBGN0085287-MONOMER
FBGN0033638	FBGN0033638-MONOMER
FBGN0050391	FBGN0050391-MONOMER
FBGN0031620	FBGN0031620-MONOMER
FBGN0051815	FBGN0051815-MONOMER
FBGN0003057	FBGN0003057-MONOMER
FBGN0040343	FBGN0040343-MONOMER
FBGN0036690	FBGN0036690-MONOMER
FBGN0038210	FBGN0038210-MONOMER
FBGN0050217	FBGN0050217-MONOMER
FBGN0032876	FBGN0032876-MONOMER
FBGN0045823	FBGN0045823-MONOMER
FBGN0085497	FBGN0085497-MONOMER
FBGN0085484	FBGN0085484-MONOMER
FBGN0051909	FBGN0051909-MONOMER
FBGN0037102	FBGN0037102-MONOMER
FBGN0035701	FBGN0035701-MONOMER
FBGN0031305	FBGN0031305-MONOMER
FBGN0053772	FBGN0053772-MONOMER
FBGN0037094	FBGN0037094-MONOMER
FBGN0026148	FBGN0026148-MONOMER
FBGN0036470	FBGN0036470-MONOMER
FBGN0037228	FBGN0037228-MONOMER
FBGN0050279	FBGN0050279-MONOMER
FBGN0002632	FBGN0002632-MONOMER
FBGN0037626	FBGN0037626-MONOMER
FBGN0259185	FBGN0259185-MONOMER
FBGN0030764	FBGN0030764-MONOMER
FBGN0051638	FBGN0051638-MONOMER
FBGN0050087	FBGN0050087-MONOMER
FBGN0051862	FBGN0051862-MONOMER
FBGN0051406	FBGN0051406-MONOMER
FBGN0036439	FBGN0036439-MONOMER
FBGN0058413	FBGN0058413-MONOMER
FBGN0259201	FBGN0259201-MONOMER
FBGN0039435	FBGN0039435-MONOMER
FBGN0030806	FBGN0030806-MONOMER
FBGN0050275	FBGN0050275-MONOMER
FBGN0011668	FBGN0011668-MONOMER
FBGN0034218	FBGN0034218-MONOMER
FBGN0050325	FBGN0050325-MONOMER
FBGN0032172	FBGN0032172-MONOMER
FBGN0052713	FBGN0052713-MONOMER
FBGN0028837	FBGN0028837-MONOMER
FBGN0036905	FBGN0036905-MONOMER
FBGN0052333	FBGN0052333-MONOMER
FBGN0030192	FBGN0030192-MONOMER
FBGN0020880	FBGN0020880-MONOMER
FBGN0034638	FBGN0034638-MONOMER
FBGN0039438	FBGN0039438-MONOMER
FBGN0033031	FBGN0033031-MONOMER
FBGN0032388	FBGN0032388-MONOMER
FBGN0032074	FBGN0032074-MONOMER
FBGN0050089	FBGN0050089-MONOMER
FBGN0037012	FBGN0037012-MONOMER
FBGN0035563	FBGN0035563-MONOMER
FBGN0035552	FBGN0035552-MONOMER
FBGN0025739	FBGN0025739-MONOMER
FBGN0069928	FBGN0069928-MONOMER
FBGN0259728	FBGN0259728-MONOMER
FBGN0004811	FBGN0004811-MONOMER
FBGN0046830	FBGN0046830-MONOMER
FBGN0069924	FBGN0069924-MONOMER
FBGN0034871	FBGN0034871-MONOMER
FBGN0038949	FBGN0038949-MONOMER
FBGN0033283	FBGN0033283-MONOMER
FBGN0033864	FBGN0033864-MONOMER
FBGN0052313	FBGN0052313-MONOMER
FBGN0052278	FBGN0052278-MONOMER
FBGN0038607	FBGN0038607-MONOMER
FBGN0035902	FBGN0035902-MONOMER
FBGN0087005	FBGN0087005-MONOMER
FBGN0069926	FBGN0069926-MONOMER
FBGN0036394	FBGN0036394-MONOMER
FBGN0085269	FBGN0085269-MONOMER
FBGN0035248	FBGN0035248-MONOMER
FBGN0001120	FBGN0001120-MONOMER
FBGN0259708	FBGN0259708-MONOMER
FBGN0052075	FBGN0052075-MONOMER
FBGN0030438	FBGN0030438-MONOMER
FBGN0025549	FBGN0025549-MONOMER
FBGN0035069	FBGN0035069-MONOMER
FBGN0032521	FBGN0032521-MONOMER
FBGN0031337	FBGN0031337-MONOMER
FBGN0029933	FBGN0029933-MONOMER
FBGN0085199	FBGN0085199-MONOMER
FBGN0039806	FBGN0039806-MONOMER
FBGN0052736	FBGN0052736-MONOMER
FBGN0037625	FBGN0037625-MONOMER
FBGN0038894	FBGN0038894-MONOMER
FBGN0038218	FBGN0038218-MONOMER
FBGN0067628	FBGN0067628-MONOMER
FBGN0002652	FBGN0002652-MONOMER
FBGN0036221	FBGN0036221-MONOMER
FBGN0038274	FBGN0038274-MONOMER
FBGN0029644	FBGN0029644-MONOMER
FBGN0004591	FBGN0004591-MONOMER
FBGN0040696	FBGN0040696-MONOMER
FBGN0036571	FBGN0036571-MONOMER
FBGN0035589	FBGN0035589-MONOMER
FBGN0086855	FBGN0086855-MONOMER
FBGN0015801	FBGN0015801-MONOMER
FBGN0085412	FBGN0085412-MONOMER
FBGN0052512	FBGN0052512-MONOMER
FBGN0030982	FBGN0030982-MONOMER
FBGN0037416	FBGN0037416-MONOMER
FBGN0039238	FBGN0039238-MONOMER
FBGN0010431	FBGN0010431-MONOMER
FBGN0085238	FBGN0085238-MONOMER
FBGN0038999	FBGN0038999-MONOMER
FBGN0029707	FBGN0029707-MONOMER
FBGN0034154	FBGN0034154-MONOMER
FBGN0030928	FBGN0030928-MONOMER
FBGN0032659	FBGN0032659-MONOMER
FBGN0028918	FBGN0028918-MONOMER
FBGN0032804	FBGN0032804-MONOMER
FBGN0058441	FBGN0058441-MONOMER
FBGN0086475	FBGN0086475-MONOMER
FBGN0029660	FBGN0029660-MONOMER
FBGN0039673	FBGN0039673-MONOMER
FBGN0085452	FBGN0085452-MONOMER
FBGN0085196	FBGN0085196-MONOMER
FBGN0029989	FBGN0029989-MONOMER
FBGN0032348	FBGN0032348-MONOMER
FBGN0085678	FBGN0085678-MONOMER
FBGN0033591	FBGN0033591-MONOMER
FBGN0031650	FBGN0031650-MONOMER
FBGN0083950	FBGN0083950-MONOMER
FBGN0250871	FBGN0250871-MONOMER
FBGN0034037	FBGN0034037-MONOMER
FBGN0036351	FBGN0036351-MONOMER
FBGN0039666	FBGN0039666-MONOMER
FBGN0259727	FBGN0259727-MONOMER
FBGN0020767	FBGN0020767-MONOMER
FBGN0050125	FBGN0050125-MONOMER
FBGN0085217	FBGN0085217-MONOMER
FBGN0085550	FBGN0085550-MONOMER
FBGN0054048	FBGN0054048-MONOMER
FBGN0039449	FBGN0039449-MONOMER
FBGN0054002	FBGN0054002-MONOMER
FBGN0052267	FBGN0052267-MONOMER
FBGN0028490	FBGN0028490-MONOMER
FBGN0028920	FBGN0028920-MONOMER
FBGN0039106	FBGN0039106-MONOMER
FBGN0038856	FBGN0038856-MONOMER
FBGN0039323	FBGN0039323-MONOMER
FBGN0029730	FBGN0029730-MONOMER
FBGN0030187	FBGN0030187-MONOMER
FBGN0025807	FBGN0025807-MONOMER
FBGN0083976	FBGN0083976-MONOMER
FBGN0030499	FBGN0030499-MONOMER
FBGN0085649	FBGN0085649-MONOMER
FBGN0053203	FBGN0053203-MONOMER
FBGN0036729	FBGN0036729-MONOMER
FBGN0051055	FBGN0051055-MONOMER
FBGN0030055	FBGN0030055-MONOMER
FBGN0052418	FBGN0052418-MONOMER
FBGN0038217	FBGN0038217-MONOMER
FBGN0085275	FBGN0085275-MONOMER
FBGN0034456	FBGN0034456-MONOMER
FBGN0085721	FBGN0085721-MONOMER
FBGN0040763	FBGN0040763-MONOMER
FBGN0053475	FBGN0053475-MONOMER
FBGN0040571	FBGN0040571-MONOMER
FBGN0061197	FBGN0061197-MONOMER
FBGN0032498	FBGN0032498-MONOMER
FBGN0039009	FBGN0039009-MONOMER
FBGN0011669	FBGN0011669-MONOMER
FBGN0035611	FBGN0035611-MONOMER
FBGN0031549	FBGN0031549-MONOMER
FBGN0033551	FBGN0033551-MONOMER
FBGN0038917	FBGN0038917-MONOMER
FBGN0039266	FBGN0039266-MONOMER
FBGN0030522	FBGN0030522-MONOMER
FBGN0040385	FBGN0040385-MONOMER
FBGN0010830	FBGN0010830-MONOMER
FBGN0037205	FBGN0037205-MONOMER
FBGN0040354	FBGN0040354-MONOMER
FBGN0037304	FBGN0037304-MONOMER
FBGN0085431	FBGN0085431-MONOMER
FBGN0032281	FBGN0032281-MONOMER
FBGN0040364	FBGN0040364-MONOMER
FBGN0250830	FBGN0250830-MONOMER
FBGN0053012	FBGN0053012-MONOMER
FBGN0033132	FBGN0033132-MONOMER
FBGN0036967	FBGN0036967-MONOMER
FBGN0034325	FBGN0034325-MONOMER
FBGN0085618	FBGN0085618-MONOMER
FBGN0053105	FBGN0053105-MONOMER
FBGN0039315	FBGN0039315-MONOMER
FBGN0031683	FBGN0031683-MONOMER
FBGN0040699	FBGN0040699-MONOMER
FBGN0040967	FBGN0040967-MONOMER
FBGN0032894	FBGN0032894-MONOMER
FBGN0085493	FBGN0085493-MONOMER
FBGN0052574	FBGN0052574-MONOMER
FBGN0037936	FBGN0037936-MONOMER
FBGN0037082	FBGN0037082-MONOMER
FBGN0033616	FBGN0033616-MONOMER
FBGN0035379	FBGN0035379-MONOMER
FBGN0038679	FBGN0038679-MONOMER
FBGN0050365	FBGN0050365-MONOMER
FBGN0036707	FBGN0036707-MONOMER
