geneBioID	ProteinBioCynId
FBGN0032886	FBGN0032886-MONOMER
FBGN0031842	FBGN0031842-MONOMER
FBGN0034897	FBGN0034897-MONOMER
FBGN0033447	FBGN0033447-MONOMER
FBGN0085537	FBGN0085537-MONOMER
FBGN0051806	FBGN0051806-MONOMER
FBGN0039324	FBGN0039324-MONOMER
FBGN0031040	FBGN0031040-MONOMER
FBGN0037168	FBGN0037168-MONOMER
FBGN0033236	FBGN0033236-MONOMER
FBGN0038849	FBGN0038849-MONOMER
FBGN0033039	FBGN0033039-MONOMER
FBGN0037890	FBGN0037890-MONOMER
FBGN0038359	FBGN0038359-MONOMER
FBGN0031407	FBGN0031407-MONOMER
FBGN0033090	FBGN0033090-MONOMER
FBGN0036761	FBGN0036761-MONOMER
FBGN0027321	FBGN0027321-MONOMER
FBGN0037809	FBGN0037809-MONOMER
FBGN0033278	FBGN0033278-MONOMER
FBGN0032390	FBGN0032390-MONOMER
FBGN0085610	FBGN0085610-MONOMER
FBGN0085250	FBGN0085250-MONOMER
FBGN0035944	FBGN0035944-MONOMER
FBGN0031138	FBGN0031138-MONOMER
FBGN0031324	FBGN0031324-MONOMER
FBGN0029646	FBGN0029646-MONOMER
FBGN0040910	FBGN0040910-MONOMER
FBGN0039319	FBGN0039319-MONOMER
FBGN0054008	FBGN0054008-MONOMER
FBGN0028746	FBGN0028746-MONOMER
FBGN0013432	FBGN0013432-MONOMER
FBGN0034267	FBGN0034267-MONOMER
FBGN0052551	FBGN0052551-MONOMER
FBGN0054030	FBGN0054030-MONOMER
FBGN0019890	FBGN0019890-MONOMER
FBGN0085230	FBGN0085230-MONOMER
FBGN0033429	FBGN0033429-MONOMER
FBGN0003978	FBGN0003978-MONOMER
FBGN0035734	FBGN0035734-MONOMER
FBGN0085553	FBGN0085553-MONOMER
FBGN0039579	FBGN0039579-MONOMER
FBGN0030980	FBGN0030980-MONOMER
FBGN0034308	FBGN0034308-MONOMER
FBGN0030053	FBGN0030053-MONOMER
FBGN0050355	FBGN0050355-MONOMER
FBGN0033400	FBGN0033400-MONOMER
FBGN0029810	FBGN0029810-MONOMER
FBGN0032290	FBGN0032290-MONOMER
FBGN0050488	FBGN0050488-MONOMER
FBGN0036567	FBGN0036567-MONOMER
FBGN0038525	FBGN0038525-MONOMER
FBGN0051145	FBGN0051145-MONOMER
FBGN0034086	FBGN0034086-MONOMER
FBGN0036504	FBGN0036504-MONOMER
FBGN0035393	FBGN0035393-MONOMER
FBGN0036291	FBGN0036291-MONOMER
FBGN0014022	FBGN0014022-MONOMER
FBGN0036890	FBGN0036890-MONOMER
FBGN0031745	FBGN0031745-MONOMER
FBGN0034532	FBGN0034532-MONOMER
FBGN0037181	FBGN0037181-MONOMER
FBGN0053260	FBGN0053260-MONOMER
FBGN0032454	FBGN0032454-MONOMER
FBGN0033486	FBGN0033486-MONOMER
FBGN0067317	FBGN0067317-MONOMER
FBGN0085638	FBGN0085638-MONOMER
FBGN0053200	FBGN0053200-MONOMER
FBGN0039249	FBGN0039249-MONOMER
FBGN0003313	FBGN0003313-MONOMER
FBGN0035765	FBGN0035765-MONOMER
FBGN0083984	FBGN0083984-MONOMER
FBGN0026196	FBGN0026196-MONOMER
FBGN0035746	FBGN0035746-MONOMER
FBGN0031538	FBGN0031538-MONOMER
FBGN0086221	FBGN0086221-MONOMER
FBGN0038311	FBGN0038311-MONOMER
FBGN0259722	FBGN0259722-MONOMER
FBGN0085301	FBGN0085301-MONOMER
FBGN0032361	FBGN0032361-MONOMER
FBGN0037812	FBGN0037812-MONOMER
FBGN0033110	FBGN0033110-MONOMER
FBGN0033076	FBGN0033076-MONOMER
FBGN0051288	FBGN0051288-MONOMER
FBGN0027556	FBGN0027556-MONOMER
FBGN0040004	FBGN0040004-MONOMER
FBGN0030691	FBGN0030691-MONOMER
FBGN0040985	FBGN0040985-MONOMER
FBGN0064912	FBGN0064912-MONOMER
FBGN0085577	FBGN0085577-MONOMER
FBGN0067622	FBGN0067622-MONOMER
FBGN0033259	FBGN0033259-MONOMER
FBGN0085353	FBGN0085353-MONOMER
FBGN0037360	FBGN0037360-MONOMER
FBGN0004359	FBGN0004359-MONOMER
FBGN0033888	FBGN0033888-MONOMER
FBGN0020439	FBGN0020439-MONOMER
FBGN0085279	FBGN0085279-MONOMER
FBGN0053937	FBGN0053937-MONOMER
FBGN0030835	FBGN0030835-MONOMER
FBGN0051080	FBGN0051080-MONOMER
FBGN0039048	FBGN0039048-MONOMER
FBGN0033806	FBGN0033806-MONOMER
FBGN0053664	FBGN0053664-MONOMER
FBGN0031677	FBGN0031677-MONOMER
FBGN0011219	FBGN0011219-MONOMER
FBGN0028893	FBGN0028893-MONOMER
FBGN0085348	FBGN0085348-MONOMER
FBGN0037241	FBGN0037241-MONOMER
FBGN0052791	FBGN0052791-MONOMER
FBGN0026189	FBGN0026189-MONOMER
FBGN0027604	FBGN0027604-MONOMER
FBGN0030748	FBGN0030748-MONOMER
FBGN0259737	FBGN0259737-MONOMER
FBGN0029837	FBGN0029837-MONOMER
FBGN0050461	FBGN0050461-MONOMER
FBGN0034328	FBGN0034328-MONOMER
FBGN0033517	FBGN0033517-MONOMER
FBGN0030757	FBGN0030757-MONOMER
FBGN0037958	FBGN0037958-MONOMER
FBGN0033707	FBGN0033707-MONOMER
FBGN0036780	FBGN0036780-MONOMER
FBGN0040361	FBGN0040361-MONOMER
FBGN0259224	FBGN0259224-MONOMER
FBGN0051827	FBGN0051827-MONOMER
FBGN0085367	FBGN0085367-MONOMER
FBGN0036767	FBGN0036767-MONOMER
FBGN0030326	FBGN0030326-MONOMER
FBGN0037669	FBGN0037669-MONOMER
FBGN0053255	FBGN0053255-MONOMER
FBGN0085600	FBGN0085600-MONOMER
FBGN0085488	FBGN0085488-MONOMER
FBGN0010772	FBGN0010772-MONOMER
FBGN0034290	FBGN0034290-MONOMER
FBGN0085652	FBGN0085652-MONOMER
FBGN0051099	FBGN0051099-MONOMER
FBGN0038958	FBGN0038958-MONOMER
FBGN0031773	FBGN0031773-MONOMER
FBGN0037884	FBGN0037884-MONOMER
FBGN0052087	FBGN0052087-MONOMER
FBGN0036131	FBGN0036131-MONOMER
FBGN0001257	FBGN0001257-MONOMER
FBGN0010770	FBGN0010770-MONOMER
FBGN0037014	FBGN0037014-MONOMER
FBGN0027549	FBGN0027549-MONOMER
FBGN0031059	FBGN0031059-MONOMER
FBGN0052801	FBGN0052801-MONOMER
FBGN0030545	FBGN0030545-MONOMER
FBGN0084001	FBGN0084001-MONOMER
FBGN0032619	FBGN0032619-MONOMER
FBGN0036192	FBGN0036192-MONOMER
FBGN0085713	FBGN0085713-MONOMER
FBGN0050284	FBGN0050284-MONOMER
FBGN0039563	FBGN0039563-MONOMER
FBGN0069919	FBGN0069919-MONOMER
FBGN0029679	FBGN0029679-MONOMER
FBGN0034563	FBGN0034563-MONOMER
FBGN0039764	FBGN0039764-MONOMER
FBGN0029800	FBGN0029800-MONOMER
FBGN0039170	FBGN0039170-MONOMER
FBGN0034144	FBGN0034144-MONOMER
FBGN0001099	FBGN0001099-MONOMER
FBGN0011335	FBGN0011335-MONOMER
FBGN0032339	FBGN0032339-MONOMER
