686,PWY-2501
690,FOLSYN-PWY
696,PWY-5080
703,PWY6666-2
705,PWY-6166
707,FOLSYN-PWY
712,PWY-4081
715,GLUDEG-II-PWY|PWY0-1313|PWY66-162|PWY66-21
717,PWY-5653
723,PWY-5664|PWY-5663
724,LIPAS-PWY
726,PWY3DJ-12
729,UDPNACETYLGALSYN-PWY
732,PWY-922|PWY-5177
734,LIPASYN-PWY|PWY-3561
739,PWY-5695
751,PWY-6074
752,P21-PWY|NONOXIPENT-PWY
754,PWY-5686
757,PWY-5155
764,HOMOCYSDEGR-PWY|CYSTEINE-SYN2-PWY
773,VALDEG-PWY
777,PWY-6124
781,PWY-6074
782,PWY-841
785,PWY3DJ-11470
786,PWY-5751
789,PWY-5698
790,PWY-5749
797,PWY-1269
803,GLYCOCAT-PWY
808,PWY4FS-6
812,ILEUSYN-PWY
821,LEU-DEG2-PWY
833,PWY-5698
834,PWY-6138
839,GLUCONSUPER-PWY|NONOXIPENT-PWY
843,PROUT-PWY|ARGASEDEG-PWY
845,GLYCOLYSIS-E-D|OXIDATIVEPENT-PWY
846,PWY-5661
847,TRESYN-PWY
853,TYRFUMCAT-PWY
854,PWY-5653
860,PWY-5340
874,SALVPURINE2-PWY|PWY0-1296
881,LIPAS-PWY
883,PWY-5490
885,PWY-2161B
890,PARATHION-CATABOLISM-PWY
891,PWY0-181|PWY0-1298
892,PWY-6100
897,PWY0-181|PWY0-1298
899,FOLSYN-PWY
907,PWY-6118
915,CYSTEINE-DEG-PWY
924,PWY0-163|PWY0-1295
937,PWY-5148
940,LEU-DEG2-PWY
947,PWY-5807
951,PWY-6074
965,PWY-6074
968,PWY-5970
973,PWY-3801|PWY-5941|GLUCOSE1PMETAB-PWY|PWY-5661|GLYCOCAT-PWY
977,PWY-5189
978,ARGDEG-V-PWY
986,PWY0-1297|SALVADEHYPOX-PWY
991,LEU-DEG2-PWY
998,PWY-5143
1009,PWY6666-1
1013,PWY0-1415|HEME-BIOSYNTHESIS-II
1021,SALVADEHYPOX-PWY|PWY-5695
1022,FAO-PWY
1023,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1024,PWY-6142|PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801
1025,ARGASEDEG-PWY|ARG-PRO-PWY
1030,PWY-5123|PWY-922
1031,PEPTIDOGLYCANSYN-PWY
1039,ARGSYN-PWY|ARGININE-SYN4-PWY
1042,PWY-5886|TYRFUMCAT-PWY
1048,DETOX1-PWY
1052,NAD-BIOSYNTHESIS-II
1054,PWY-5687
1061,ILEUSYN-PWY
1081,PWY-6030
1085,FAO-PWY
1086,BGALACT-PWY
1089,PWY-5749
1091,PWY-6124
1096,GDPRHAMSYN-PWY
1102,PWY0-1300
1103,COA-PWY
1111,NADPHOS-DEPHOS-PWY
1112,TRESYN-PWY
1117,P441-PWY
1118,ASPASN-PWY|ASPARAGINE-DEG1-PWY
1119,PWY-5996
1120,PWY0-1297|PWY0-1298
1123,PWY0-181|PWY0-1298
1125,PWY-5687
1135,SALVADEHYPOX-PWY|PWY0-1296
1139,PARATHION-CATABOLISM-PWY
1145,PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801
1150,LIPAS-PWY
1158,PWY-6309
1160,PWY-6142|PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801|GLUCONEO-PWY
1161,VALDEG-PWY
1168,PWY-4021
1171,PWY-5877
1179,PROUT-PWY
1180,ARGDEG-V-PWY
1181,PWY-3801
1192,ANAEROFRUCAT-PWY|PWY-3801
1193,PWY-6277
1195,PWY-6309
1199,TYRFUMCAT-PWY
1206,ILEUSYN-PWY
1207,PWY-1801
1217,PWY-5653
1218,PWY-6074
1220,PWY-6100
1223,ILEUDEG-PWY|PWY-5109
1242,HYDROXYPRODEG-PWY
1246,ILEUDEG-PWY|PWY-5109
1256,PWY-6277|PWY-6121
1262,PWY-5687|PWY0-163
1264,PWY-5691
1265,PWY-1269
1277,PWY-3341|ARGASEDEG-PWY|ARG-PRO-PWY|PROLINE-SYN2-PWY
1285,PWY3DJ-12
1292,PWY-5189
1299,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1300,PWY-5941|PWY-5767
1303,PWY-6146|PWY-6142
1305,PWY3O-450
1309,PHOSLIPSYN2-PWY
1319,AERESPDON-PWY
1326,PWY-5667
1333,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1336,PWY-5386
1348,PWY-2161
1350,PWY-2501
1355,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1358,PWY-5877
1369,PWY0-163
1370,PWY6666-2
1375,PWY-3982
1379,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1380,GLUCOSE1PMETAB-PWY
1382,TRIGLSYN-PWY
1383,PWY-2301
1384,GLUTATHIONESYN-PWY
1393,PWY-5386
1394,COLANSYN-PWY|PWY-3801|GALACTMETAB-PWY|PWY-5067
1400,PWY-6142|ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-5659|GLUCONEO-PWY
1401,SALVADEHYPOX-PWY
1404,PWY-6277|PWY-6121
1407,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1410,LIPASYN-PWY
1423,PEPTIDOGLYCANSYN-PWY
1434,PWY66-301
1439,PWY-6281
1441,PROPIONMET-PWY
1442,PWY0-1182
1444,PWY-5751
1446,ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|PWY0-1182|GLUCOSE1PMETAB-PWY|PWY-5661|GLYCOCAT-PWY
1447,PWY-5041
1456,HOMOCYSDEGR-PWY|CYSTEINE-SYN2-PWY
1457,PWY-5386|AERESPDON-PWY
1458,PWY3O-4106
1467,PWY-6142|PWY-5484|ANAGLYCOLYSIS-PWY|GLYCOLYSIS|PWY-3801
1470,PWY-2161|1CMET2-PWY|PWY-2201|PWY-1722
1471,PWY-4561
1472,LIPASYN-PWY
1477,NONOXIPENT-PWY
1479,PWY-4041
1483,PWY-3561|PWY3O-450
1485,HYDROXYPRODEG-PWY
1487,PWY0-166
1488,SERSYN-PWY
1489,PWY-5885
1497,FAO-PWY|PWY-5136
1499,PWY-5754
1501,PWY-1801
1510,SALVPURINE2-PWY
1512,PHENYLALANINE-DEG1-PWY
1519,PROPIONMET-PWY
1521,FAO-PWY|PWY-5136
1523,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1528,METHIONINE-DEG1-PWY|PWY-5041|SAM-PWY
1529,MANGDPMET-PWY|PWY-5659
1535,PWY-5663
1537,ILEUSYN-PWY
1539,PWY-5751
1542,PWY-2201
1543,PWY-5326
1546,GLUTAMINDEG-PWY
1547,COLANSYN-PWY
1563,PWY-5874
1566,PWY0-166
1569,ALANINE-SYN2-PWY|ALANINE-DEG3-PWY
1572,GLYSYN-THR-PWY
1576,PWY-5754
1583,UDPNACETYLGALSYN-PWY
1609,PWY-5080
1617,PWY0-163
1621,PWY-6309|PWY-5651
1624,ARGSYN-PWY|ARGININE-SYN4-PWY|PWY-4983
1627,PWY-5172
1629,ASPARAGINESYN-PWY
1646,GLUTATHIONESYN-PWY
1649,SALVADEHYPOX-PWY
1653,PWY-2201
1655,PEPTIDOGLYCANSYN-PWY
1659,VALDEG-PWY
1664,PWY-5121|PWY-5123
1665,VALDEG-PWY
1668,PWY-5767
1669,PWY-922
1670,XYLCAT-PWY
1671,PWY-5690
1673,ARGININE-SYN4-PWY|GLUTAMATE-SYN2-PWY|PWY-5766|PROLINE-SYN2-PWY
1675,PWY-6030
1677,PWY-4061
1681,GLUTSYNIII-PWY
1688,PEPTIDOGLYCANSYN-PWY
1689,PEPTIDOGLYCANSYN-PWY
1695,PWY-5136
1696,PWY0-163
1699,LIPASYN-PWY
1700,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
1702,PWY-4061
1709,PWY-5941|PWY-5767
1711,PWY-4983
1716,PWY-2161|1CMET2-PWY|PWY-2201|GLYSYN-PWY
1719,PWY-5177
1723,ANAEROFRUCAT-PWY
1724,PWY-922
1727,UDPNACETYLGALSYN-PWY
1730,PWY-5177
1732,PWY-6000
1734,PWY-3801
1744,FOLSYN-PWY|1CMET2-PWY
1745,PWY-6309
1749,PWY-561|AERESPDON-PWY|PWY-3781|PWY-5690
1751,PWY-5687
1754,PWY-5686
1760,VALDEG-PWY
