1	1331+1173
2	490+1309+522
3	1916+1642
4	303+722
5	843+201
6	869+1321
7	153+1665
8	926+1148+1665
9	1487+1665
10	3838+1665+914
11	522+1309+287
12	916+826+1682+1678
13	3779+978+68
14	926+916+342+1678
15	1972+1702
16	1321+914
17	492
18	1648+303
19	803+522
20	1276+3757+522
21	1321+1309
22	926+890+914
23	2329+1642
24	1503+914
25	926+92+133
26	631+522+1309
27	926+181
28	916+648
29	2330+1642
30	1032+1702
31	874+843
32	522+1407
34	260+522
35	1310+2566
36	356+1642+1309
37	775+522+1309
38	730+843
39	679+1702
40	1430
41	926+1651+92+36
42	95
43	926+1378+843
44	310
45	3604+1206
46	236+3761+926
47	400+1160
48	926+1669+916
50	926+826+499+1320
51	816+3761+926
52	752+54
53	467+1642
55	832+1507+1320
56	337+1552
57	2766+843
58	620+1551+303
59	1470+1310
60	3064+914
61	4821+3761
62	1321+303+1421+904
63	926+359+522
64	926+778+1702
65	703+1321
66	926+826+1321+499
67	475+522
68	2231
69	914+342+1678
70	142+1702
71	301+1548
72	1706+1665
73	3770+522+926
74	3443+181
75	280+916
76	926+1222+1321
77	926+1536+1642
78	380+303
79	303+1551+879
80	1189
81	926+341+158
82	1297
83	1663+1665
84	618+522+3778
85	290+3761
86	926+109+1665
87	297
88	1308+3761+926
89	1702+154
90	92+1506+1058
91	1549+3761+926
92	1678+1665
93	1534+522
94	3064+914
95	1300+303+3761
96	1320+1372
97	1551+1642
98	918+914+1665
99	3932+1642
100	790+1207
101	491+1309+522
102	926+11+1321
103	342+522+303
105	1503+1665
106	1310+1473
107	1176+1665
108	926+1070+130
109	981+335
110	92+1321+1507
111	3761+1008
112	1291+522+3757
113	3443
114	480+914
115	1648+838
116	332+1642
117	853+303+92
118	3443+1332
119	525+1213
120	3891+1642
121	740+522
122	1200
123	826+1665+914+229
124	926+64+92+36
125	181+926
126	303+252
127	325+914
128	2240+926+1666
129	396+1309+522
130	916+1855
131	1548+36
132	92+1714
133	1035+1321+926
134	512+1642
135	1321+303+1506
136	710+522
137	592+1309+522
138	265
139	767
140	92+1715
141	906+3779
142	210+1310
143	1207
144	403+1678
145	320+1321
146	1052
147	2800+1551+1647+303
148	1003
149	1396+1388+1321
150	926+1178+1320
151	3937+303
152	926+1438+1321
153	816+1321+926
154	1699+3291
155	301+1310
156	926+844
157	3412+1702
158	1139+522
159	826+314
160	1352
161	307+1321+926
162	3770+522+926
163	230+1642+1309
164	364+843
165	1361+1665
166	303+1551+779
167	58+522
168	926+760+843
169	903+911
170	3800+949
171	1192+1647
172	921+914+1665
173	3973+303+1642+3757+522
174	853+1548
175	4063+2915
176	896
177	848+1642
178	826+849
179	1676+1173
180	916+1408+926+1408+14+1678
181	630+1309+522
182	926+92+36+428
183	926+1410+916+1678
184	156+1170
185	393+914
186	456+1321+926
187	2297+3734
188	303+342+1665
189	632+1309+522
190	1502+1665
191	1189
192	1700+2328
193	522+170
194	926+351+1665
195	592+1309+522
196	554+1508
197	926+843+176
198	926+1402+1665+914
199	906+1082
200	926+424+1701
202	926+21
203	494
204	275+1665
205	92+130+926
206	1887+1702
207	488
208	904+926
209	554+876
210	781+1309+522
211	1048+1551
212	969+522
213	926+1035+36
214	1358
215	926+92+135
216	926+665+1700
217	1982+1321
218	1698+1665
219	982+926+982+335
220	1089+522
221	522+63
222	1966+1939
223	3657+1469
224	1498+4063
225	926+1321+1506
226	2566+1310
227	1193+1681
228	1404
229	1665+3604
230	926+1329+1320+1059
232	759+3800
233	1348+1665+914
234	800+522
