1	916+133
2	926+948+1320+1059
3	3920+525
4	926+465
5	806+839
6	828+1310
7	340+1676
8	1192+1676
9	1484+1676
10	3838+826+1676
11	926+1059+1320+364
12	522+832+1676
13	522+3778+984
14	914+1506+1676
15	1993+1113
16	1320+522
17	856
18	1506
19	804+926
20	1275+3761+1059
21	1310+1320
22	889+167
23	3935+2308
24	1499
25	1712+522
26	926+614+1059+1320
27	1681+522
28	567+636
29	3920+2309
30	3253+1014
31	860+839
32	1372
34	1555
35	1321+3770+926
36	1394+1320+926
37	777+1059+1320+926
38	737+839
39	2232+3253+678
40	1387+522
41	484+522+1059
42	88
43	1382+839
44	553
45	3604+522
46	567+3757+522
47	1647+1189
48	1672+522
50	866+1309+522
51	499+3757+522
52	802+522
53	216+1388+522
55	826+1309
56	120
57	2764+839
58	617+1507+1059
59	1648+1321
60	688+522
61	4820+3757
62	1806+1310+1642+1036+522
63	326
64	3253+777
65	37+1310+522
66	522+1310+866
67	926+312
68	2233
69	522+1506+1676
70	3253+586
71	360+522
72	1704+1676
73	2566+1059+926
74	1715+522
75	926+450+1710
76	1310+1232
77	1507+522+1388
78	926+488
79	1059+1507+880
80	1192
81	805+522
82	988
83	1666+1676
84	617+1059+3779
85	429+3757
86	25+1676
87	493
88	1305+3757
89	1118+62
90	835+522
91	825+3757
92	1722+522
93	1531
94	342+1219+522
95	1291+3757
96	1309+1642+416
97	1405+522
98	918+522+1676
99	3927+3920+1388
100	785
101	282+1320+926+1059
102	379+1310+522
103	914+216
105	1499+1676
106	926+1321+1645
107	3408+1676
108	199
109	984+41
110	522+1310+826
111	3757+1009
112	1269+1059+3761
113	1215
114	259+522
115	2921
116	274+528
117	926+818+522
118	1103+522
119	1184
120	3920+1263
121	926+498+1059
122	1199
123	1676+43+832+522
124	68+522+1059
125	181+926
126	926+81
127	192+342
128	2239+1136
129	926+775+1320+1059
130	1710+2329
131	1648+1059+522
132	522+1716
133	722+1310+522
134	2545+1388
135	1310+1554
136	126
137	926+582+1320+1059
138	138
139	6
140	522+1713
141	1058+3778+522
142	374+1321+926
143	1206
144	1334+1676
145	533+1310+522
146	139+478
147	2870+1507+1059
148	926+1005
149	274+1642+522+1310
150	1229+1309
151	3935+1394
152	1212+1310
153	60+1310+522
154	3241+522
155	926+864+1321
156	847+92
157	1112+522
158	926+1140
159	852+1507
160	522+1747
161	1473+1310
162	2566+1059+926
163	274+1320+926
164	594+839
165	1219+1676
166	780+1059+1507
167	1251
168	763+839
169	902+911
170	942
171	505
172	921+522+1676
173	1424+1394+3761+926
174	889+522
175	2962+522
176	835+1466
177	847+1405
178	853+1507
179	1672+916
180	714+714+1642+1676
181	632+1320+1059
182	1059+522+836
183	1642+571+1676
184	3343+401
185	392+522
186	162+1310
187	3727+2330
188	216+1676
189	605+1320+926+1059
190	1498+1676
191	1191
192	1855+829
193	358
194	1193+1676
195	926+578+1320+1059
196	203
197	839+432
198	467+1642+1676
199	903+1324
200	530+52
202	181+522
203	47
204	38+1676
205	168+522
206	3284+460+1117
207	544
208	303+522
209	522+859
210	926+15+1320
211	322+1405
212	926+968+1059
213	722+1059+522
214	728
215	522+976
216	474+1145
217	4275+1310+522
218	1721+1676
219	983+983+41
220	1071
221	561
222	1954+1857
223	522+1053
224	2232+522+678
225	1310+1542
226	926+3770+1321
227	1714+914
228	255+1642
229	1123+3604
230	1661+1309+522
232	764+3801
233	1346+826+1676
234	926+575+1059
235	1180
236	179+1107
237	1670+914
238	1520+1320+1059
239	461+78
241	335+522
242	2047+1059
243	527+3757
244	502
245	385+1388+522
246	299+522+1676
247	1092
248	1309+7
249	2237+391
250	1366+522
251	336
252	1537+1310
253	926+1209+1320
254	1917+478
255	926+1004+1320+1059
256	1533+1388+522
257	1207+3770
258	1550+832
259	1279+3761+1059
260	2063+1136
261	1718+835+1676
262	1542+1421
263	1485+1676
264	2438+1117
265	829+1388
266	1242+522
267	1398
268	4264+824+1059
269	3694+1237
270	1730
271	1310+1543
272	1388+522+1508
273	853
274	1486+1676
275	1192
276	926+556+1321+1059
277	1714+1676
278	1207+1676
279	433+522
281	1508+833
282	2454+522
283	64+3757+522
284	289+522+1059
285	356+833
286	1642+693+1676
287	1742
288	4840
289	2330+522
290	1520+1642+1676
291	926+1283+1320
292	1380+1642
293	1239+914
294	1059+58
295	1310+1233
296	1369+926
297	277
298	12+522
299	1719+1676
300	3263+1309
301	1690+522
302	926+230+1320
303	926+21+522
304	537+839
305	1415
306	1175+522
307	616+1507+1059
308	2232+2220+2330
309	1207+1665
310	1136
311	4394+522
313	522+1310+407
314	1738
315	483+1144
316	1855+2327
317	417
318	799+839
319	3345
320	830+1507
321	1310+3956
322	822+1059
323	1433+522+1388
324	1457+522
325	896+1059+522
326	1307+1406
328	809+178
329	1739
330	945
331	522+3278
332	721+1548
333	325
334	3702+1113
335	3329+1178
336	109
337	209
338	926+995+1059+1320
339	873
340	597+1309
341	1358+839
342	83
343	838+1388
344	224+1423
345	1470+1059+1320+926
346	1139+3761+926
347	767+3801
348	839+2893
349	1678+914
350	753+1642+1676
351	3932+1320
352	3920+2469
353	1673+1676
354	1388+1394+1320+926
355	1502
356	1663+522
357	657+522
358	1739
359	1662
360	462
361	2522+522
362	926+873+1507
363	1310+1540
364	1270+1059+1320
365	333
366	176+926
367	3581+914
368	926+18
369	612+1059+1507
370	1309+1130
371	45+1676
372	943
373	1400+838
374	926+1000+1059+1320
375	579
376	1486+522
377	3343+1676
378	630+1507+1059
379	821+1507
380	756
381	1682+1676
382	1640+274
383	522+1707
385	922+926+522+1676
386	702+938
387	140+1
388	1333+1710
389	2790+835
390	926+513+1320+1059
391	1552+2571
392	926+1059+1320+286
393	1855+1474
394	926+906
395	926+1096+1059
396	1663+522
397	824
398	407+1309+522
399	1223
400	1127+1177
401	3343+1189
403	3253
404	839+2897
405	1174+1676
406	3838+1665+914
407	170
408	1535+522
409	822
410	926+1003+1059
411	1547+1309
412	854+1074
413	838+1405
414	926+17
415	926+1039+1059
416	558
417	548+1642
418	1442+1309
419	1367+3778
420	2464+522
421	830+1059
422	972+4302
423	141+1309+522
424	3778+3746
425	199+1346
426	1185
427	515+811
428	1360+1422
429	926+1331+1194
430	1311+522+235
431	959+1507+1059
432	1727+1676
433	694+1059
434	595+567
435	838+1346+1310
436	48+1059+522
437	145
438	3425+1676
