counpoundId,reactID,Stoichometry,ismain
1291,95,,true
3757,95,,true
1300,95,,true
303,95,,true
3761,95,,true
1309,96,2,true
1642,96,2,true
416,96,2,true
1320,96,2,true
1372,96,2,true
1405,97,2,true
522,97,2,true
1551,97,,true
1642,97,,true
918,98,,true
522,98,,true
1676,98,,true
918,98,,true
914,98,,true
1665,98,,true
3927,99,,true
3920,99,,true
1388,99,,true
3932,99,,true
1642,99,,true
785,100,2,true
790,100,,true
1207,100,,true
282,101,,true
1320,101,,true
926,101,,true
1059,101,,true
491,101,,true
1309,101,,true
522,101,2,true
379,102,2,true
1310,102,2,true
522,102,2,true
926,102,2,true
11,102,2,true
1321,102,2,true
914,103,2,true
216,103,2,true
342,103,,true
522,103,,true
303,103,,true
1499,105,,true
1676,105,,true
1503,105,,true
1665,105,,true
926,106,,true
1321,106,,true
1645,106,,true
1310,106,,true
1473,106,,true
3408,107,,true
1676,107,,true
1176,107,,true
1665,107,,true
199,108,,true
926,108,,true
1070,108,,true
130,108,,true
984,109,,true
41,109,,true
981,109,,true
335,109,,true
522,110,,true
1310,110,,true
826,110,,true
92,110,,true
1321,110,,true
1507,110,,true
3757,111,,true
1009,111,,true
3761,111,,true
1008,111,,true
1269,112,,true
1059,112,,true
3761,112,,true
1291,112,,true
522,112,,true
3757,112,,true
1215,113,,true
3443,113,,true
259,114,,true
522,114,,true
480,114,,true
914,114,,true
2921,115,,true
1648,115,,true
838,115,,true
274,116,,true
528,116,,true
332,116,,true
1642,116,,true
926,117,,true
818,117,,true
522,117,,true
853,117,,true
303,117,,true
92,117,,true
1103,118,,true
522,118,,true
3443,118,,true
1332,118,,true
1184,119,,true
525,119,,true
1213,119,,true
3920,120,,true
1263,120,,true
3891,120,,true
1642,120,,true
926,121,2,true
498,121,2,true
1059,121,2,true
740,121,,true
522,121,,true
1199,122,,true
1200,122,,true
1676,123,,true
43,123,,true
832,123,,true
522,123,,true
826,123,,true
1665,123,,true
914,123,,true
229,123,,true
68,124,,true
522,124,,true
1059,124,,true
926,124,,true
64,124,,true
92,124,,true
36,124,,true
181,125,,true
926,125,,true
181,125,,true
926,125,,true
926,126,,true
81,126,,true
303,126,,true
252,126,,true
192,127,,true
342,127,,true
325,127,,true
914,127,,true
2239,128,,true
1136,128,,true
2240,128,,true
926,128,,true
1666,128,,true
926,129,,true
775,129,,true
1320,129,,true
1059,129,,true
396,129,,true
1309,129,,true
522,129,2,true
1710,130,2,true
2329,130,2,true
916,130,,true
1855,130,,true
1648,131,,true
1059,131,,true
522,131,,true
1548,131,,true
36,131,,true
522,132,,true
1716,132,,true
92,132,,true
1714,132,,true
722,133,,true
1310,133,,true
522,133,,true
1035,133,,true
1321,133,,true
926,133,2,true
2545,134,2,true
1388,134,2,true
512,134,,true
1642,134,,true
1310,135,,true
1554,135,,true
1321,135,,true
303,135,,true
1506,135,,true
126,136,,true
710,136,,true
522,136,,true
926,137,,true
582,137,,true
1320,137,,true
1059,137,,true
592,137,,true
1309,137,,true
522,137,,true
138,138,,true
265,138,,true
6,139,,true
767,139,,true
522,140,,true
1713,140,,true
92,140,,true
1715,140,,true
1058,141,,true
3778,141,,true
522,141,3,true
906,141,,true
3779,141,,true
374,142,,true
1321,142,,true
926,142,,true
210,142,,true
1310,142,,true
1206,143,,true
1207,143,,true
1334,144,,true
1676,144,,true
403,144,,true
1678,144,,true
533,145,,true
1310,145,,true
522,145,,true
320,145,,true
1321,145,,true
139,146,,true
478,146,,true
1052,146,,true
2870,147,,true
1507,147,,true
1059,147,,true
2800,147,,true
1551,147,,true
1647,147,,true
303,147,,true
926,148,2,true
1005,148,2,true
1003,148,,true
274,149,,true
1642,149,,true
522,149,,true
1310,149,,true
1396,149,,true
1388,149,,true
1321,149,,true
1229,150,,true
1309,150,,true
926,150,,true
1178,150,,true
1320,150,,true
3935,151,,true
1394,151,,true
3937,151,,true
303,151,,true
1212,152,,true
1310,152,,true
926,152,,true
1438,152,,true
1321,152,,true
60,153,,true
1310,153,,true
522,153,2,true
816,153,,true
1321,153,,true
926,153,,true
3241,154,,true
522,154,,true
1699,154,,true
3291,154,,true
926,155,,true
864,155,,true
1321,155,,true
301,155,,true
1310,155,,true
847,156,,true
92,156,,true
926,156,2,true
844,156,2,true
1112,157,2,true
522,157,2,true
3412,157,,true
1702,157,,true
926,158,2,true
1140,158,2,true
1139,158,,true
522,158,,true
852,159,,true
1507,159,,true
826,159,,true
314,159,,true
522,160,,true
1747,160,,true
1352,160,,true
1473,161,,true
1310,161,,true
307,161,,true
1321,161,,true
926,161,,true
2566,162,2,true
1059,162,2,true
926,162,4,true
3770,162,2,true
522,162,2,true
926,162,4,true
274,163,4,true
1320,163,4,true
926,163,4,true
230,163,,true
1642,163,,true
1309,163,,true
594,164,,true
839,164,,true
364,164,,true
843,164,,true
1219,165,,true
1676,165,,true
1361,165,,true
1665,165,,true
780,166,,true
1059,166,,true
1507,166,,true
303,166,,true
1551,166,,true
779,166,,true
1251,167,,true
58,167,,true
522,167,,true
763,168,,true
839,168,,true
926,168,,true
760,168,,true
843,168,,true
902,169,,true
911,169,,true
903,169,,true
911,169,2,true
942,170,2,true
3800,170,,true
949,170,,true
505,171,,true
1192,171,,true
1647,171,,true
921,172,,true
522,172,,true
1676,172,,true
921,172,,true
914,172,,true
1665,172,,true
1424,173,,true
1394,173,,true
3761,173,2,true
926,173,2,true
3973,173,,true
303,173,,true
1642,173,,true
3757,173,2,true
522,173,2,true
889,174,2,true
522,174,2,true
853,174,,true
1548,174,,true
2962,175,,true
522,175,,true
4063,175,,true
2915,175,,true
835,176,,true
1466,176,,true
896,176,,true
847,177,,true
1405,177,,true
848,177,,true
1642,177,,true
853,178,,true
1507,178,,true
826,178,,true
849,178,,true
1672,179,,true
916,179,,true
1676,179,,true
1173,179,,true
714,180,,true
714,180,,true
1642,180,,true
1676,180,,true
916,180,,true
1408,180,,true
926,180,,true
1408,180,,true
14,180,,true
1678,180,,true
632,181,,true
1320,181,,true
1059,181,,true
630,181,,true
1309,181,,true
522,181,,true
1059,182,,true
522,182,,true
836,182,,true
926,182,,true
92,182,,true
36,182,,true
428,182,,true
1642,183,,true
571,183,,true
1676,183,,true
926,183,,true
1410,183,,true
916,183,,true
1678,183,,true
3343,184,,true
401,184,,true
156,184,,true
1170,184,,true
392,185,,true
522,185,,true
393,185,,true
914,185,,true
162,186,,true
1310,186,,true
456,186,,true
1321,186,,true
926,186,,true
3727,187,,true
2330,187,,true
2297,187,,true
3734,187,,true
216,188,,true
1676,188,,true
303,188,,true
342,188,,true
1665,188,,true
605,189,,true
1320,189,,true
926,189,,true
1059,189,,true
632,189,,true
1309,189,,true
522,189,2,true
1498,190,2,true
1676,190,2,true
1502,190,,true
1665,190,,true
1191,191,,true
1189,191,,true
1855,192,,true
829,192,,true
1700,192,,true
2328,192,,true
358,193,,true
522,193,,true
170,193,,true
1193,194,,true
1676,194,,true
926,194,2,true
351,194,2,true
1665,194,2,true
926,195,2,true
578,195,2,true
1320,195,2,true
1059,195,2,true
592,195,,true
1309,195,,true
522,195,,true
203,196,,true
554,196,,true
1508,196,,true
839,197,,true
432,197,,true
926,197,2,true
843,197,2,true
176,197,2,true
467,198,2,true
1642,198,2,true
1676,198,2,true
926,198,,true
1402,198,,true
1665,198,,true
914,198,,true
903,199,,true
1324,199,,true
906,199,,true
1082,199,,true
530,200,,true
52,200,,true
926,200,,true
424,200,,true
1701,200,,true
181,202,,true
522,202,,true
926,202,,true
21,202,,true
47,203,,true
494,203,,true
38,204,,true
1676,204,,true
275,204,,true
1665,204,,true
168,205,,true
522,205,,true
92,205,,true
130,205,,true
926,205,,true
3284,206,,true
460,206,,true
1117,206,,true
1887,206,,true
1702,206,,true
544,207,,true
488,207,,true
303,208,,true
522,208,,true
904,208,,true
926,208,,true
522,209,,true
859,209,,true
554,209,,true
876,209,,true
926,210,,true
15,210,,true
1320,210,,true
781,210,,true
1309,210,,true
522,210,,true
322,211,,true
1405,211,,true
1048,211,,true
1551,211,,true
926,212,2,true
968,212,2,true
1059,212,2,true
969,212,,true
522,212,,true
722,213,,true
1059,213,,true
522,213,,true
926,213,,true
1035,213,,true
36,213,,true
728,214,,true
1358,214,,true
522,215,,true
976,215,,true
926,215,,true
92,215,,true
135,215,,true
474,216,,true
1145,216,,true
926,216,,true
665,216,,true
1700,216,,true
4275,217,,true
1310,217,,true
522,217,,true
1982,217,,true
1321,217,,true
1721,218,,true
1676,218,,true
1698,218,,true
1665,218,,true
983,219,,true
983,219,,true
41,219,,true
982,219,,true
926,219,,true
982,219,,true
335,219,,true
1071,220,2,true
1089,220,,true
522,220,,true
561,221,2,true
522,221,2,true
63,221,2,true
1954,222,2,true
1857,222,2,true
1966,222,,true
1939,222,,true
522,223,N,true
1053,223,N,true
3657,223,,true
1469,223,N,true
2232,224,N,true
522,224,N,true
678,224,N,true
1498,224,,true
4063,224,,true
1310,225,,true
1542,225,,true
926,225,,true
1321,225,,true
1506,225,,true
926,226,,true
3770,226,,true
1321,226,,true
2566,226,,true
1310,226,,true
1714,227,,true
914,227,,true
1193,227,,true
1681,227,,true
255,228,,true
1642,228,,true
1404,228,,true
1123,229,,true
3604,229,,true
1665,229,,true
3604,229,,true
1661,230,,true
1309,230,,true
522,230,,true
926,230,3,true
1329,230,3,true
1320,230,3,true
1059,230,3,true
764,232,,true
3801,232,,true
759,232,,true
3800,232,,true
1346,233,,true
826,233,,true
1676,233,,true
1348,233,,true
1665,233,,true
914,233,,true
926,234,2,true
575,234,2,true
1059,234,2,true
800,234,,true
522,234,,true
1180,235,,true
1645,235,,true
525,235,,true
179,236,,true
1107,236,,true
926,236,,true
45,236,,true
1702,236,,true
1670,237,,true
914,237,,true
3347,237,,true
1691,237,,true
1520,238,,true
1320,238,2,true
1059,238,2,true
1512,238,,true
1309,238,2,true
522,238,2,true
461,239,2,true
78,239,2,true
3443,239,,true
149,239,,true
1644,239,,true
335,241,,true
522,241,,true
251,241,,true
1689,241,,true
2047,242,,true
1059,242,,true
1507,242,,true
36,242,,true
527,243,,true
3757,243,,true
722,243,,true
3761,243,,true
502,244,,true
3,244,,true
522,244,,true
385,245,,true
1388,245,,true
522,245,,true
926,245,,true
493,245,,true
1642,245,,true
299,246,,true
522,246,2,true
1676,246,2,true
826,246,,true
914,246,,true
1665,246,,true
1092,247,2,true
926,247,3,true
1335,247,3,true
202,247,3,true
1309,248,3,true
7,248,3,true
1320,248,,true
65,248,,true
2237,249,,true
391,249,,true
2239,249,,true
1366,250,,true
522,250,,true
3923,250,,true
336,251,,true
380,251,,true
522,251,,true
1537,252,,true
1310,252,,true
1507,252,,true
303,252,,true
1321,252,,true
926,253,,true
1209,253,,true
1320,253,,true
1233,253,,true
1309,253,,true
1917,254,,true
478,254,,true
1796,254,,true
1905,254,,true
97,254,,true
1052,254,,true
926,255,,true
1004,255,,true
1320,255,,true
1059,255,,true
1006,255,,true
1309,255,,true
522,255,,true
1533,256,,true
1388,256,,true
522,256,,true
926,256,,true
570,256,,true
1642,256,,true
1207,257,,true
3770,257,,true
1439,257,,true
2566,257,,true
1550,258,,true
832,258,,true
127,258,,true
826,258,,true
1279,259,,true
3761,259,,true
1059,259,,true
1289,259,,true
3757,259,,true
522,259,,true
2063,260,,true
1136,260,,true
2004,260,,true
1666,260,,true
1718,261,,true
835,261,,true
1676,261,,true
916,261,,true
1687,261,,true
833,261,,true
1678,261,,true
1542,262,,true
1421,262,,true
1414,262,,true
1530,262,,true
1485,263,,true
1676,263,,true
926,263,2,true
1487,263,2,true
1665,263,2,true
2438,264,2,true
1117,264,2,true
2449,264,,true
1702,264,,true
829,265,,true
1388,265,,true
94,265,,true
94,265,,true
