1	MONOMER54L-3156
2	FBGN0086896-MONOMER
3	FBGN0025393-MONOMER
4	FBGN0000535-MONOMER
5	FBGN0031756-MONOMER
6	FBGN0243516-MONOMER
7	FBGN0037568-MONOMER
8	FBGN0033893-MONOMER
9	FBGN0032261-MONOMER
10	FBGN0052054-MONOMER
11	FBGN0034423-MONOMER
12	FBGN0010660-MONOMER
13	FBGN0085376-MONOMER
14	FBGN0032700-MONOMER
15	FBGN0040366-MONOMER
16	FBGN0259718-MONOMER
17	FBGN0028341-MONOMER
18	FBGN0037135-MONOMER
19	FBGN0030107-MONOMER
20	FBGN0053816-MONOMER
21	FBGN0053771-MONOMER
22	FBGN0037249-MONOMER
23	FBGN0039599-MONOMER
24	FBGN0040832-MONOMER
25	FBGN0039722-MONOMER
26	FBGN0030181-MONOMER
27	FBGN0259821-MONOMER
28	FBGN0034322-MONOMER
29	FBGN0002521-MONOMER
30	FBGN0037433-MONOMER
31	FBGN0052237-MONOMER
32	FBGN0085228-MONOMER
33	FBGN0001974-MONOMER
34	FBGN0031114-MONOMER
35	FBGN0022355-MONOMER
36	FBGN0015617-MONOMER
37	FBGN0024329-MONOMER
38	FBGN0014009-MONOMER
39	FBGN0037634-MONOMER
40	FBGN0035140-MONOMER
41	FBGN0052379-MONOMER
42	FBGN0037470-MONOMER
43	FBGN0010247-MONOMER
44	FBGN0003480-MONOMER
45	FBGN0036552-MONOMER
46	FBGN0033912-MONOMER
47	FBGN0031799-MONOMER
48	FBGN0036997-MONOMER
49	FBGN0052454-MONOMER
50	FBGN0030821-MONOMER
51	FBGN0005671-MONOMER
52	FBGN0039300-MONOMER
53	FBGN0086708-MONOMER
54	FBGN0028974-MONOMER
55	FBGN0035411-MONOMER
56	FBGN0058005-MONOMER
57	FBGN0033348-MONOMER
58	FBGN0038675-MONOMER
59	FBGN0020129-MONOMER
60	FBGN0033166-MONOMER
61	FBGN0032873-MONOMER
62	FBGN0053158-MONOMER
63	FBGN0010213-MONOMER
64	FBGN0030620-MONOMER
65	FBGN0030583-MONOMER
66	FBGN0033315-MONOMER
67	FBGN0052221-MONOMER
68	FBGN0016792-MONOMER
69	FBGN0003513-MONOMER
70	FBGN0039156-MONOMER
71	FBGN0024361-MONOMER
72	FBGN0053213-MONOMER
73	FBGN0003501-MONOMER
74	FBGN0052365-MONOMER
75	FBGN0015585-MONOMER
76	FBGN0032049-MONOMER
77	FBGN0037110-MONOMER
78	FBGN0051246-MONOMER
79	FBGN0015804-MONOMER
80	FBGN0052651-MONOMER
81	FBGN0028997-MONOMER
82	FBGN0033364-MONOMER
83	FBGN0024968-MONOMER
84	FBGN0034590-MONOMER
85	FBGN0003036-MONOMER
86	FBGN0031505-MONOMER
87	FBGN0030163-MONOMER
88	FBGN0031934-MONOMER
89	FBGN0033431-MONOMER
90	FBGN0036872-MONOMER
91	FBGN0036328-MONOMER
92	FBGN0032050-MONOMER
93	FBGN0037751-MONOMER
94	FBGN0029706-MONOMER
95	FBGN0002917-MONOMER
96	FBGN0031134-MONOMER
97	FBGN0023511-MONOMER
98	FBGN0039774-MONOMER
99	FBGN0032664-MONOMER
100	FBGN0004034-MONOMER
101	FBGN0259819-MONOMER
102	FBGN0035816-MONOMER
103	FBGN0029700-MONOMER
104	FBGN0011666-MONOMER
105	FBGN0045478-MONOMER
106	FBGN0030241-MONOMER
107	FBGN0036621-MONOMER
108	FBGN0022999-MONOMER
109	FBGN0036305-MONOMER
110	FBGN0051706-MONOMER
111	FBGN0039576-MONOMER
112	FBGN0022709-MONOMER
113	FBGN0085209-MONOMER
114	FBGN0033778-MONOMER
115	FBGN0033713-MONOMER
116	FBGN0028426-MONOMER
117	FBGN0030788-MONOMER
118	FBGN0035539-MONOMER
119	FBGN0003575-MONOMER
120	FBGN0034122-MONOMER
121	FBGN0036044-MONOMER
